gid,trx,old name,name,old scalerank,rank,featureclass,region,subregion,partof,comment,aka,wikikey
136,update,Makgadikgadi Pan,Makgadikgadi Pan (Desert),6,1,desert,Africa,Botswana,Kalahari Desert,"a salt pan, surrounded by the Kalahari",,Makgadikgadi_Pan
137,delete,Etosha Pan,Etosha Pan,6,1,desert,,Namibia,,a salt pan in the  north of Namibia,,
138,delete,Jabal as Sawdä\u0092,Jabal as Sawdä\u0092,6,1,desert,,,,a mountain peak in Saudi Arabia,,
139,delete,White Sands,White Sands,6,1,desert,,,,a national park at the north end of the Chihuahua Desert,,
140,delete,Black Rock Desert,Black Rock Desert,6,1,desert,,"Reno, Nevada",Great Basin Desert,,,
425,update,Salar de Uyuni,Salar de Uyuni Desert,5,2,desert,South America,Bolivia,Atacama Desert,salt flat,Salar de Tunupa,Salar_de_Uyuni
426,update,Wahiba Sands,Wahiba Sands Desert,5,1,desert,Asia,Oman,,,Sharqiya Sands,Sharqiya_Sands
427,update,Danakil,Danakil Desert,5,1,desert,Africa,Djibouti,,"in the Afar Triangle, guarding the entrance to the Red Sea",,Danakil_Desert
428,update,Negev Desert,Negev Desert,5,1,desert,Asia,Israel,,southern Israel,,Negev
429,update,Chalbi Desert,Chalbi Desert,5,2,desert,Africa,Kenya,Sahara Desert,north Kenya,,Chalbi_Desert
430,update,Eastern Desert,Eastern Desert,5,2,desert,Africa,"Egypt, Sudan, Eritrea, Ethiopia",Sahara Desert,"east of Nile, includes Suez Canal",Red Sea Hills,Eastern_Desert
431,delete,Trarza,Trarza,5,1,desert,,,,a region of Mauritania,,
432,delete,Akchâr,Akchâr,5,2,desert,,Mauritania,Sahara Desert,,,
433,delete,Hamada de Tinrhert,Hamada de Tinrhert,5,1,desert,,,,a town in Algeria,,
434,update,\u0091Erg Iguidi,Erg Iguidi (Desert),5,2,desert,Africa,Algeria,Sahara Desert,,,Erg_Iguidi
435,update,Strzelecki Desert,Strzelecki Desert,5,1,desert,Australia,,Great Australian Desert,,,Strzelecki_Desert
436,update,Simpson Desert,Simpson Desert,5,1,desert,Australia,,Great Australian Desert,in the Great Artesian Basin watershed,,Simpson_Desert
437,update,Tanami Desert,Tanami Desert,5,1,desert,Australia,,Great Australian Desert,,,Tanami_Desert
438,update,Rigestan,Rigestan Desert,5,1,desert,Asia,Afghanistan,,,"Registan, Sistan Desert",Registan_Desert
439,update,Margo Desert,Margo Desert,5,1,desert,Asia,Afghanistan,,adjacent to Registan and Dasht-e Khash,"Dasht-e Margo, Dasht-e Mārgow, Dasht-e Margoh",Dasht-e_Margo
440,update,Kavir Desert,Kavir Desert,5,1,desert,Asia,Iran,,,"Dasht-e Kavir, Kavir-e Namak, Great Salt Desert",Dasht-e_Kavir
441,update,An Nafud Desert,An Nafud Desert,5,2,desert,Asia,,Arabian Desert,"T. E. Lawrence, Lawrence of Arabia","An Nafud, Al-Nefud, The Nefud",An_Nafud
442,delete,Big Bend,Big Bend,5,1,desert,,,,national park in Chihuahua Desert,,
591,update,Idhän Murzuq,Idhän Murzuq (Desert),4,2,desert,Africa,Libya,Sahara Desert,southwest Libya,"Murzuq Desert, Idehan Murzuq, Murzaq, Murzuk, Marzuq, Murzak",Murzuq_Desert
592,delete,Hamada du Drâa,Hamada du Drâa (Desert),4,1,desert,,,,name of a town and hotel in Algeria,,
593,update,Ténéré,Ténéré (Desert),4,2,desert,Africa,Niger,Sahara Desert,Niger into Chad,Tenere,Ténéré
594,delete,Tassili oua-n-Ahaggar,Tassili oua-n-Ahaggar (Desert),4,1,desert,,,,Name of a town in Algeria,,
595,delete,Tassili-n-Ajjer,Tassili-n-Ajjer (Desert),4,1,desert,,,,a national park in Algeria,,
